Trip Id,Trip Duration (seconds),Start Station Id,Start Time,Start Station Name,End Station Id,End Time,End Station Name,Bike Id,User Type,Hour,AM_PM,Month,DayOfWeek,lat,lon,capacity,is_charging_station,nearby_distance,is_valet_station,weather_region,Temp (°C),Precip. Amount (mm)
31797641,960,7336,09/01/2024 00:03,Queen St E / Alton Av,7314,09/01/2024 00:19,Queen St. E / Eastern Ave,3299,Casual Member,0,AM,September,Sunday,43.663912,-79.327987,19.0,False,1000.0,,TORONTO_CITY,18.9,0.0
31797642,276,7253,09/01/2024 00:03,John St  / Mercer St - SMART,7054,09/01/2024 00:08,Navy Wharf Crt / Bremner Blvd,739,Casual Member,0,AM,September,Sunday,43.6461,-79.3895,12.0,False,1000.0,,TORONTO_CITY_CENTRE,19.8,0.0
31797643,996,7398,09/01/2024 00:03,York St / Lake Shore Blvd W,7014,09/01/2024 00:20,Sherbourne St / Carlton St (Allan Gardens),5137,Casual Member,0,AM,September,Sunday,43.641952,-79.380723,19.0,False,1609.34,,TORONTO_CITY_CENTRE,19.8,0.0
31797645,675,7323,09/01/2024 00:04,457 King St W,7716,09/01/2024 00:15,Church St / The Esplanade,1846,Casual Member,0,AM,September,Sunday,43.6452091,-79.3960744,19.0,False,1000.0,,TORONTO_CITY_CENTRE,19.8,0.0
31797646,549,7189,09/01/2024 00:04,Augusta Ave / Denison Sq,7046,09/01/2024 00:13,Niagara St / Richmond St W,1881,Casual Member,0,AM,September,Sunday,43.653766,-79.4016759,15.0,False,500.0,,TORONTO_CITY,18.9,0.0
31797647,799,7030,09/01/2024 00:04,Bay St / Wellesley St W,7196,09/01/2024 00:17,Roxton Rd / Harbord St,5466,Casual Member,0,AM,September,Sunday,43.664088,-79.387095,35.0,False,1609.34,False,TORONTO_CITY,18.9,0.0
31797648,929,7209,09/01/2024 00:04,Ossington Ave / Harrison St,7907,09/01/2024 00:19,365 Lippincott St,1505,Casual Member,0,AM,September,Sunday,43.651111111111106,-79.4213888888889,19.0,False,500.0,,TORONTO_CITY,18.9,0.0
31797650,1798,7000,09/01/2024 00:04,Fort York  Blvd / Capreol Ct,7054,09/01/2024 00:34,Navy Wharf Crt / Bremner Blvd,7897,Casual Member,0,AM,September,Sunday,43.639832,-79.395954,47.0,False,500.0,,TORONTO_CITY_CENTRE,19.8,0.0
31797651,2159,7209,09/01/2024 00:04,Ossington Ave / Harrison St,7409,09/01/2024 00:40,Isabella St / Church St,8270,Casual Member,0,AM,September,Sunday,43.651111111111106,-79.4213888888889,19.0,False,500.0,,TORONTO_CITY,18.9,0.0
31797652,401,7899,09/01/2024 00:04,Queens Park Cres / College St ,7007,09/01/2024 00:11,College St / Huron St,2465,Casual Member,0,AM,September,Sunday,43.66018127636866,-79.39083271520538,23.0,False,200.0,,TORONTO_CITY,18.9,0.0
31797653,964,7398,09/01/2024 00:04,York St / Lake Shore Blvd W,7014,09/01/2024 00:20,Sherbourne St / Carlton St (Allan Gardens),994,Casual Member,0,AM,September,Sunday,43.641952,-79.380723,19.0,False,1609.34,,TORONTO_CITY_CENTRE,19.8,0.0
31797654,591,7207,09/01/2024 00:04,Dundas St W / Crawford St,7666,09/01/2024 00:14,Dundas St W / St Helen's Ave - SMART,8724,Casual Member,0,AM,September,Sunday,43.649722,-79.416944,47.0,False,500.0,False,TORONTO_CITY,18.9,0.0
31797655,526,7327,09/01/2024 00:04,Davenport Rd / Dovercourt Rd - SMART,7240,09/01/2024 00:13,Bloor St W / Shaw St - SMART,4366,Casual Member,0,AM,September,Sunday,43.6741219,-79.4352208,16.0,False,1000.0,,TORONTO_CITY,18.9,0.0
31797656,2129,7209,09/01/2024 00:04,Ossington Ave / Harrison St,7409,09/01/2024 00:40,Isabella St / Church St,753,Casual Member,0,AM,September,Sunday,43.651111111111106,-79.4213888888889,19.0,False,500.0,,TORONTO_CITY,18.9,0.0
31797657,949,7126,09/01/2024 00:04,Yonge St / Yorkville Ave,7356,09/01/2024 00:20,King St E / Berkeley St,2278,Annual Member,0,AM,September,Sunday,43.671944,-79.387778,17.0,False,500.0,,TORONTO_CITY,18.9,0.0
31797658,2216,7707,09/01/2024 00:04,Coronation Park (Martin Goodman Trail),7042,09/01/2024 00:41,Sherbourne St / Wellesley St E,1497,Casual Member,0,AM,September,Sunday,43.635007,-79.403341,19.0,False,350.0,,TORONTO_CITY_CENTRE,19.8,0.0
31797659,929,7258,09/01/2024 00:04,Queen St E / Rushbrooke Ave,7065,09/01/2024 00:20,Dundas St E / Parliament St,4258,Casual Member,0,AM,September,Sunday,43.6626628,-79.3323698,15.0,False,1000.0,,TORONTO_CITY,18.9,0.0
31797661,280,7929,09/01/2024 00:05,Spadina Ave / Bulwer St- SMART ,7757,09/01/2024 00:09,The Well,3262,Casual Member,0,AM,September,Sunday,43.649354475273796,-79.39675713332855,12.0,False,100.0,,TORONTO_CITY,18.9,0.0
31797662,304,7407,09/01/2024 00:05,University Ave / Queen St W,7721,09/01/2024 00:10,Widmer St / King St W,5604,Casual Member,0,AM,September,Sunday,43.65052424212547,-79.38672702579497,18.0,False,1609.34,,TORONTO_CITY,18.9,0.0
31797663,2784,7787,09/01/2024 00:05,HTO Park West,7479,09/01/2024 00:51,Jane St / Bloor St W (Jane Subway Station),7436,Casual Member,0,AM,September,Sunday,43.63737145931921,-79.38976958703309,31.0,False,200.0,,TORONTO_CITY_CENTRE,19.8,0.0
31797664,1134,7030,09/01/2024 00:05,Bay St / Wellesley St W,7324,09/01/2024 00:24,King St W / Charlotte St,462,Casual Member,0,AM,September,Sunday,43.664088,-79.387095,35.0,False,1609.34,False,TORONTO_CITY,18.9,0.0
